species,name,c3.c4,crop.wild,tissue,fol.ed,study.type,ea.co2,eco2,aco2,plus.co2,add.info,lat,long,region,country,reference,n,element,delta,log.r
Pinus sylvestris,pine tree,C3,WLD,needles,F,chamber,693/362,693,362,331,"avg all cohrts, crnt ndls, amb temp",,,,,Luomala et al 2005,6,S,-0.0697,-0.0722
Pinus sylvestris,pine tree,C3,WLD,needles,F,chamber,693/362,693,362,331,"avg all cohrts, crnt ndls, amb temp",,,,,Luomala et al 2005,9,Zn,0.0149,0.0148
Pinus sylvestris,pine tree,C3,WLD,needles,F,OTC,590/amb,590,365,225,2 yr old needles,62.78,30.97,Suonenjoki,Finland,Utriainen et al 2000,4,Al,-0.1368,-0.1471
Pinus sylvestris,pine tree,C3,WLD,needles,F,OTC,590/amb,590,365,225,2 yr old needles,62.78,30.97,Suonenjoki,Finland,Utriainen et al 2000,4,Ca,0.0308,0.0303
Pinus sylvestris,pine tree,C3,WLD,needles,F,OTC,590/amb,590,365,225,2 yr old needles,62.78,30.97,Suonenjoki,Finland,Utriainen et al 2000,4,Cu,-0.2351,-0.268
Pinus sylvestris,pine tree,C3,WLD,needles,F,OTC,590/amb,590,365,225,2 yr old needles,62.78,30.97,Suonenjoki,Finland,Utriainen et al 2000,4,Fe,0.2085,0.1894
Pinus sylvestris,pine tree,C3,WLD,needles,F,OTC,590/amb,590,365,225,2 yr old needles,62.78,30.97,Suonenjoki,Finland,Utriainen et al 2000,4,K,-0.0532,-0.0547
Pinus sylvestris,pine tree,C3,WLD,needles,F,OTC,590/amb,590,365,225,2 yr old needles,62.78,30.97,Suonenjoki,Finland,Utriainen et al 2000,4,Mg,0.0341,0.0335
Pinus sylvestris,pine tree,C3,WLD,needles,F,OTC,590/amb,590,365,225,2 yr old needles,62.78,30.97,Suonenjoki,Finland,Utriainen et al 2000,4,Mn,0.033,0.0325
Pinus sylvestris,pine tree,C3,WLD,needles,F,OTC,590/amb,590,365,225,2 yr old needles,62.78,30.97,Suonenjoki,Finland,Utriainen et al 2000,4,N,-0.1722,-0.189
Pinus sylvestris,pine tree,C3,WLD,needles,F,OTC,590/amb,590,365,225,2 yr old needles,62.78,30.97,Suonenjoki,Finland,Utriainen et al 2000,4,P,-0.1231,-0.1313
Pinus taeda,loblolly pine tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,1998,35.97,-79.03,North Carolina,USA,Finzi et al 2001,3,C,-0.004,-0.004
Pinus taeda,loblolly pine tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,"avg new & old, 1998",35.97,-79.03,North Carolina,USA,Finzi et al 2001,6,N,-0.065,-0.0672
Pinus taeda,loblolly pine tree,C3,WLD,foliar,F,FACE,plus 200/amb,560,360,200,"avg new & old, 1998",35.97,-79.03,North Carolina,USA,Finzi et al 2001,6,P,0.0552,0.0537
Pinus taeda,pine tree,C3,WLD,needles,F,FACE,582/382,582,382,200,1 yr old,35.97,-79.03,North Carolina,USA,Natali et al 2009,3,Al,-0.3453,-0.4236
Pinus taeda,pine tree,C3,WLD,needles,F,FACE,582/382,582,382,200,1 yr old,35.97,-79.03,North Carolina,USA,Natali et al 2009,3,Co,0.0653,0.0633
Pinus taeda,pine tree,C3,WLD,needles,F,FACE,582/382,582,382,200,1 yr old,35.97,-79.03,North Carolina,USA,Natali et al 2009,3,Cu,-0.05,-0.0513
Pinus taeda,pine tree,C3,WLD,needles,F,FACE,582/382,582,382,200,1 yr old,35.97,-79.03,North Carolina,USA,Natali et al 2009,3,Fe,0.085,0.0816
Pinus taeda,pine tree,C3,WLD,needles,F,FACE,582/382,582,382,200,1 yr old,35.97,-79.03,North Carolina,USA,Natali et al 2009,3,Mn,-0.0083,-0.0083
Pinus taeda,pine tree,C3,WLD,needles,F,FACE,582/382,582,382,200,1 yr old,35.97,-79.03,North Carolina,USA,Natali et al 2009,3,Mo,-0.0963,-0.1013
Pinus taeda,pine tree,C3,WLD,needles,F,FACE,582/382,582,382,200,1 yr old,35.97,-79.03,North Carolina,USA,Natali et al 2009,3,Ni,-0.625,-0.9808
Pinus taeda,pine tree,C3,WLD,needles,F,FACE,582/382,582,382,200,1 yr old,35.97,-79.03,North Carolina,USA,Natali et al 2009,3,Pb,0.2484,0.2219
Pinus taeda,pine tree,C3,WLD,needles,F,FACE,582/382,582,382,200,1 yr old,35.97,-79.03,North Carolina,USA,Natali et al 2009,3,V,0.02,0.0198
Pinus taeda,pine tree,C3,WLD,needles,F,FACE,582/382,582,382,200,1 yr old,35.97,-79.03,North Carolina,USA,Natali et al 2009,3,Zn,-0.0827,-0.0863
Poa alpina,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,Ca,-0.1147,-0.1218
Poa alpina,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,K,-0.2285,-0.2594
Poa alpina,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,Mg,-0.2231,-0.2524
Poa alpina,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,N,-0.2073,-0.2323
Poa alpina,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340, ,54.13,-2.67,Wales,UK,Baxter et al 1994,4,P,0.0318,0.0313
Poa alpina,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340,high N & P,53.07,-4.08,Wales,UK,Baxter et al 1997,4,N,-0.4321,-0.5658
Poa alpina,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340,low N & P,53.07,-4.08,Wales,UK,Baxter et al 1997,4,N,-0.6927,-1.1799
Poa alpina,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340,high N & P,53.07,-4.08,Wales,UK,Baxter et al 1997,4,P,-0.2337,-0.2662
Poa alpina,grass,C3,WLD,foliar,F,OTC,680/340,680,340,340,low N & P,53.07,-4.08,Wales,UK,Baxter et al 1997,4,P,-0.74,-1.3471
Pteridium aquilinum,fern,C3,WLD,frond,F,chamber,700/amb,700,380,320,avg of three Cu treatments,,,,,Zheng et al 2008,12,Cu,-0.1129,-0.1198
Pteridium revolutum,fern,C3,WLD,frond,F,chamber,700/amb,700,380,320,avg of three Cu treatments,,,,,Zheng et al 2008,12,Cu,0.1665,0.154
Pteris vittata ,fern,C3,WLD,frond,F,chamber,700/amb,700,380,320,avg of three Cu treatments,,,,,Zheng et al 2008,12,Cu,-0.473,-0.6405
Quercus chapmanii,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Al,-0.0347,-0.0353
Quercus chapmanii,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Co,-0.0625,-0.0645
Quercus chapmanii,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Cu,-0.0256,-0.026
Quercus chapmanii,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Fe,0.0196,0.0194
Quercus chapmanii,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Mn,0.6614,0.5076
Quercus chapmanii,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Mo,0.2308,0.2076
Quercus chapmanii,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Ni,-0.375,-0.47
Quercus chapmanii,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Pb,0.09,0.0862
Quercus chapmanii,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,V,0.0557,0.0542
Quercus chapmanii,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Zn,0.3063,0.2672
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,B,-0.2581,-0.2985
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,Ca,-0.1143,-0.1214
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,Cu,-0.0189,-0.0191
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,Fe,-0.1667,-0.1824
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,K,0.0408,0.04
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,Mg,-0.2,-0.2231
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,Mn,0.4068,0.3413
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,N,-0.0885,-0.0927
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,P,-0.15,-0.1625
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,S,-0.0854,-0.0893
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,Zn,0.0833,0.08
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Al,-0.3691,-0.4607
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Co,-0.2424,-0.2776
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Cu,0.0263,0.026
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Fe,-0.1818,-0.2007
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Mn,0.2152,0.1949
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Mo,-0.0171,-0.0173
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Ni,0.1667,0.1542
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Pb,0.0203,0.0201
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,V,-0.303,-0.361
Quercus geminata,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Zn,-0.1477,-0.1598
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,B,-0.04,-0.0408
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,Ca,0.1552,0.1443
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,Cu,0.1373,0.1287
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,Fe,0.3793,0.3216
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,K,0,0
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,Mg,-0.1429,-0.1542
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,Mn,0.3651,0.3112
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,N,-0.121,-0.129
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,P,0,0
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,S,-0.24,-0.2744
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,582/382,725,375,350, ,28.63,-80.7,Florida,USA,Johnson et al 2003,8,Zn,0.1176,0.1112
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Al,-0.2424,-0.2776
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Co,-0.4333,-0.568
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Cu,0,0
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Fe,-0.0288,-0.0292
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Mn,0.2269,0.2045
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Mo,0.2216,0.2002
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Ni,0.1667,0.1542
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Pb,1.0986,0.7413
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,V,-0.2258,-0.2559
Quercus myrtifolia,oak tree,C3,WLD,foliar,F,OTC,plus350/amb,730,380,350,"8+8 OTC, SERC",28.63,-80.7,Florida,USA,Natali et al 2009,8,Zn,-0.0084,-0.0084
Quercus suber,cork oak tree,C3,WLD,foliar,F,greenhouse,700/350,700,350,350,8+8 OTC,,,,,Niinemets et al 1999,2,Ca,-0.0047,-0.0047
Quercus suber,cork oak tree,C3,WLD,foliar,F,greenhouse,700/350,700,350,350,8+8 OTC,,,,,Niinemets et al 1999,2,Ca,-0.3233,-0.3905
Quercus suber,cork oak tree,C3,WLD,foliar,F,greenhouse,700/350,700,350,350,8+8 OTC,,,,,Niinemets et al 1999,2,K,-0.2216,-0.2505
Quercus suber,cork oak tree,C3,WLD,foliar,F,greenhouse,700/350,700,350,350,8+8 OTC,,,,,Niinemets et al 1999,2,K,-0.2239,-0.2535
Quercus suber,cork oak tree,C3,WLD,foliar,F,greenhouse,700/350,700,350,350,high N,,,,,Niinemets et al 1999,2,Mg,-0.1956,-0.2177
Quercus suber,cork oak tree,C3,WLD,foliar,F,greenhouse,700/350,700,350,350,low N,,,,,Niinemets et al 1999,2,Mg,-0.3531,-0.4356
Quercus suber,cork oak tree,C3,WLD,foliar,F,greenhouse,700/350,700,350,350,high N,,,,,Niinemets et al 1999,2,N,-0.2199,-0.2483
Quercus suber,cork oak tree,C3,WLD,foliar,F,greenhouse,700/350,700,350,350,low N,,,,,Niinemets et al 1999,2,N,-0.0756,-0.0786
Quercus suber,cork oak tree,C3,WLD,foliar,F,greenhouse,700/350,700,350,350,high N,,,,,Niinemets et al 1999,2,P,-0.5281,-0.751
Quercus suber,cork oak tree,C3,WLD,foliar,F,greenhouse,700/350,700,350,350,low N,,,,,Niinemets et al 1999,2,P,-0.4025,-0.515
Raphanus sativus 'Cherry Belle',radish,C3,CRP,foliar,F,chamber,765/385,765,385,380, ,,,,,Barnes & Pffirrman 1992,4,Ca,0.0278,0.0274
Raphanus sativus 'Cherry Belle',radish,C3,CRP,foliar,F,chamber,765/385,765,385,380, ,,,,,Barnes & Pffirrman 1992,4,K,0.0157,0.0156
Raphanus sativus 'Cherry Belle',radish,C3,CRP,foliar,F,chamber,765/385,765,385,380, ,,,,,Barnes & Pffirrman 1992,4,Mg,-0.125,-0.1335
Raphanus sativus 'Cherry Belle',radish,C3,CRP,foliar,F,chamber,765/385,765,385,380, ,,,,,Barnes & Pffirrman 1992,4,N,-0.1547,-0.1681
Raphanus sativus 'Cherry Belle',radish,C3,CRP,foliar,F,chamber,765/385,765,385,380, ,,,,,Barnes & Pffirrman 1992,4,P,-0.2219,-0.2509
Raphanus sativus 'Cherry Belle',radish,C3,CRP,foliar,F,chamber,765/385,765,385,380, ,,,,,Barnes & Pffirrman 1992,4,S,-0.2667,-0.3102
Raphanus sativus 'Cherry Belle',radish,C3,CRP,foliar,F,chamber,765/385,765,385,380, ,,,,,Barnes & Pffirrman 1992,4,Zn,-0.092,-0.0965
Raphanus sativus 'Giant White Globe',radish,C3,CRP,foliar,F,chamber,1000/400,1000,400,600, ,,,,,McKeehen et al 1996,3,Ca,-0.4623,-0.6205
Raphanus sativus 'Giant White Globe',radish,C3,CRP,foliar,F,chamber,1000/400,1000,400,600, ,,,,,McKeehen et al 1996,3,K,0.4395,0.3643
Raphanus sativus 'Giant White Globe',radish,C3,CRP,foliar,F,chamber,1000/400,1000,400,600, ,,,,,McKeehen et al 1996,3,Mg,0.4113,0.3445
Raphanus sativus 'Giant White Globe',radish,C3,CRP,foliar,F,chamber,1000/400,1000,400,600, ,,,,,McKeehen et al 1996,3,N,0.2814,0.248
Raphanus sativus 'Giant White Globe',radish,C3,CRP,foliar,F,chamber,1000/400,1000,400,600, ,,,,,McKeehen et al 1996,3,Na,1.1714,0.7754
Raphanus sativus 'Giant White Globe',radish,C3,CRP,foliar,F,chamber,1000/400,1000,400,600, ,,,,,McKeehen et al 1996,3,P,0.4804,0.3923
Raphanus sativus 'Mino',radish,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Ca,-0.0507,-0.052
Raphanus sativus 'Mino',radish,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Cr,0.1056,0.1004
Raphanus sativus 'Mino',radish,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Cu,-0.0833,-0.087
Raphanus sativus 'Mino',radish,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Fe,0.0298,0.0294
Raphanus sativus 'Mino',radish,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,K,-0.0138,-0.0139
Raphanus sativus 'Mino',radish,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Mg,-0.0763,-0.0794
Raphanus sativus 'Mino',radish,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Mn,0.0677,0.0655
Raphanus sativus 'Mino',radish,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Ni,0.0284,0.028
Raphanus sativus 'Mino',radish,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Pb,-0.0458,-0.0469
Raphanus sativus 'Mino',radish,C3,CRP,tuber,E,greenhouse,1000/400,1000,400,600, ,,,,,Azam et al 2013,3,Zn,-0.1232,-0.1315
Rumex patientia x R. Tianschanicus 'Rumex K-1',buckwheat,C3,CRP,shoots,F,chamber,1000/385,1000,385,615,soil-H,,,,,Tian et al 2013,2,Cu,0.117,0.1106
Rumex patientia x R. Tianschanicus 'Rumex K-1',buckwheat,C3,CRP,shoots,F,chamber,1000/385,1000,385,615,soil-L,,,,,Tian et al 2013,2,Cu,0.113,0.1071
Secale cereale 'Wintergrazer-70',rye,C3,CRP,shoots,F,chamber,1000/385,1000,385,615,soil-H,,,,,Tian et al 2013,2,Cu,-0.03,-0.0305
Secale cereale 'Wintergrazer-70',rye,C3,CRP,shoots,F,chamber,1000/385,1000,385,615,soil-L,,,,,Tian et al 2013,2,Cu,0.015,0.0149
Solanum lycopersicum '76R MYC+',tomato,C3,CRP,foliar,F,chamber,970/amb,970,380,590, ,,,,,Cavagnaro et al 2007,4,P,0.0234,0.0231
Solanum lycopersicum '76R MYC+',tomato,C3,CRP,foliar,F,chamber,970/amb,970,380,590, ,,,,,Cavagnaro et al 2007,4,Zn,-0.0685,-0.071
Solanum lycopersicum 'rmc',tomato,C3,CRP,foliar,F,chamber,970/amb,970,380,590, ,,,,,Cavagnaro et al 2007,4,P,0.4364,0.3621
Solanum tuberosum,potato,C3,CRP,foliar,F,chamber,1000/500,1000,500,500, ,,,,,Cao & Tibbitts 1997,3,Ca,-0.0417,-0.0426
Solanum tuberosum,potato,C3,CRP,foliar,F,chamber,1000/500,1000,500,500, ,,,,,Cao & Tibbitts 1997,3,Ca,-0.1271,-0.1359
Solanum tuberosum,potato,C3,CRP,foliar,F,chamber,1000/500,1000,500,500, ,,,,,Cao & Tibbitts 1997,3,K,-0.0251,-0.0254
Solanum tuberosum,potato,C3,CRP,foliar,F,chamber,1000/500,1000,500,500, ,,,,,Cao & Tibbitts 1997,3,K,-0.1007,-0.1061
Solanum tuberosum,potato,C3,CRP,foliar,F,chamber,1000/500,1000,500,500, ,,,,,Cao & Tibbitts 1997,3,Mg,-0.0625,-0.0645
Solanum tuberosum,potato,C3,CRP,foliar,F,chamber,1000/500,1000,500,500, ,,,,,Cao & Tibbitts 1997,3,Mg,-0.1449,-0.1565
Solanum tuberosum,potato,C3,CRP,foliar,F,chamber,1000/500,1000,500,500, ,,,,,Cao & Tibbitts 1997,3,N,-0.1109,-0.1175
Solanum tuberosum,potato,C3,CRP,foliar,F,chamber,1000/500,1000,500,500, ,,,,,Cao & Tibbitts 1997,3,N,-0.2172,-0.2449
Solanum tuberosum,potato,C3,CRP,foliar,F,chamber,1000/500,1000,500,500, ,,,,,Cao & Tibbitts 1997,3,P,-0.2018,-0.2254
Solanum tuberosum,potato,C3,CRP,foliar,F,chamber,1000/500,1000,500,500, ,,,,,Cao & Tibbitts 1997,3,P,-0.2121,-0.2384
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,550/380,550,380,170, ,50.57,8.67,Giessen,Germany,Hogy & Fangmeier 2009,4,B,0.161,0.1493
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,550/380,550,380,170, ,50.57,8.67,Giessen,Germany,Hogy & Fangmeier 2009,4,B,-0.064,-0.0661
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,550/380,550,380,170, ,50.57,8.67,Giessen,Germany,Hogy & Fangmeier 2009,4,Ca,-0.061,-0.0629
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,550/380,550,380,170, ,50.57,8.67,Giessen,Germany,Hogy & Fangmeier 2009,4,Cd,-0.77,-1.4697
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,550/380,550,380,170, ,50.57,8.67,Giessen,Germany,Hogy & Fangmeier 2009,4,Fe,0.048,0.0469
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,550/380,550,380,170, ,50.57,8.67,Giessen,Germany,Hogy & Fangmeier 2009,4,K,-0.032,-0.0325
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,550/380,550,380,170, ,50.57,8.67,Giessen,Germany,Hogy & Fangmeier 2009,4,Mg,-0.012,-0.0121
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,550/380,550,380,170, ,50.57,8.67,Giessen,Germany,Hogy & Fangmeier 2009,4,Mn,0.007,0.007
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,550/380,550,380,170, ,50.57,8.67,Giessen,Germany,Hogy & Fangmeier 2009,4,P,0.056,0.0545
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,550/380,550,380,170, ,50.57,8.67,Giessen,Germany,Hogy & Fangmeier 2009,4,S,0.01,0.01
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,550/380,550,380,170, ,50.57,8.67,Giessen,Germany,Hogy & Fangmeier 2009,4,Zn,-0.228,-0.2588
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,650/370,644,366,278,NF & NFC ,57.9,12.4,Goteborg,Sweden,Piikki et al 2007,6,Ca,0.135,0.1266
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,650/370,647,366,281,NF++ & NFC++ ,57.9,12.4,Goteborg,Sweden,Piikki et al 2007,6,Ca,0.002,0.002
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,650/370,644,366,278,NF & NFC ,57.9,12.4,Goteborg,Sweden,Piikki et al 2007,6,K,0.029,0.0286
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,650/370,647,366,281,NF++ & NFC++ ,57.9,12.4,Goteborg,Sweden,Piikki et al 2007,6,K,-0.036,-0.0367
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,650/370,644,366,278,NF & NFC ,57.9,12.4,Goteborg,Sweden,Piikki et al 2007,6,Mg,0.073,0.0705
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,650/370,647,366,281,NF++ & NFC++ ,57.9,12.4,Goteborg,Sweden,Piikki et al 2007,6,Mg,-0.04,-0.0408
Solanum tuberosum 'Bintje',potato,C3,CRP,tuber,E,OTC,650/370,644,366,278,NF & NFC ,57.9,12.4,Goteborg,Sweden,Piikki et al 2007,6,N,0.049,0.0478
